date,avg_temperature,rain,snow
2024-12-15,5.5,0.0,0.0
2024-12-14,7.4,2.7,0.0
2024-12-13,6.25,11.0,0.0
2024-12-12,3.15,0.8,0.0
2024-12-11,4.8,0.0,0.0
2024-12-10,2.04,0.0,0.0
2024-12-09,4.59,0.0,0.0
2024-12-08,6.15,1.1,0.0
2024-12-07,8.75,12.6,0.0
2024-12-06,7.6,6.3,0.0
2024-12-05,3.7,0.0,0.0
2024-12-04,1.54,0.0,0.0
2024-12-03,2.59,0.0,0.0
2024-12-02,2.45,0.0,0.0
2024-12-01,3.95,0.0,0.0
2024-11-30,5.65,0.2,0.0
2024-11-29,3.1,0.0,0.0
2024-11-28,3.45,0.0,0.0
2024-11-27,4.15,0.9,0.0
2024-11-26,3.05,0.0,0.0
2024-11-25,5.09,0.0,0.0
2024-11-24,6.95,3.0,0.0
2024-11-23,8.75,2.6,0.0
2024-11-22,8.8,5.1,0.0
2024-11-21,8.1,0.5,0.0
2024-11-20,8.1,11.5,0.0
2024-11-19,4.55,14.1,4.0
2024-11-18,4.94,3.5,0.0
2024-11-17,6.7,10.8,0.0
2024-11-16,4.34,26.1,0.0
2024-11-15,5.8,0.0,0.0
2024-11-14,8.3,6.5,0.0
2024-11-13,9.8,16.4,0.0
2024-11-12,8.19,7.9,0.0
2024-11-11,10.3,16.9,0.0
2024-11-10,10.8,4.6,0.0
2024-11-09,9.85,17.4,0.0
2024-11-08,10.89,10.0,0.0
2024-11-07,9.19,0.0,0.0
2024-11-06,8.44,0.0,0.0
2024-11-05,7.4,0.0,0.0
2024-11-04,9.94,20.0,0.0
2024-11-03,7.9,1.6,0.0
2024-11-02,7.65,5.0,0.0
2024-11-01,7.65,19.2,0.0
2024-10-31,9.19,5.5,0.0
2024-10-30,8.89,17.5,0.0
2024-10-29,7.65,0.0,0.0
2024-10-28,10.25,1.6,0.0
2024-10-27,11.55,5.6,0.0
2024-10-26,12.1,11.8,0.0
2024-10-25,6.4,0.0,0.0
2024-10-24,7.8,0.0,0.0
2024-10-23,7.25,0.0,0.0
2024-10-22,9.44,1.2,0.0
2024-10-21,9.85,0.0,0.0
2024-10-20,11.7,28.8,0.0
2024-10-19,11.75,67.1,0.0
2024-10-18,8.75,34.2,0.0
2024-10-17,9.0,0.0,0.0
2024-10-16,11.1,6.6,0.0
2024-10-15,11.2,0.0,0.0
2024-10-14,14.25,10.4,0.0
2024-10-13,14.05,0.0,0.0
2024-10-12,11.3,0.0,0.0
2024-10-11,9.3,0.0,0.0
2024-10-10,9.69,0.0,0.0
2024-10-09,12.25,4.1,0.0
2024-10-08,14.05,0.6,0.0
2024-10-07,14.0,0.0,0.0
2024-10-06,13.55,0.0,0.0
2024-10-05,12.5,0.0,0.0
2024-10-04,13.3,11.7,0.0
2024-10-03,8.9,0.0,0.0
2024-10-02,12.35,0.0,0.0
2024-10-01,10.65,0.7,0.0
2024-09-30,10.14,0.0,0.0
2024-09-29,12.2,0.0,0.0
2024-09-28,11.05,0.0,0.0
2024-09-27,13.5,0.0,0.0
2024-09-26,11.55,2.9,0.0
2024-09-25,15.1,29.8,0.0
2024-09-24,15.75,0.0,0.0
2024-09-23,16.64,3.5,0.0
2024-09-22,14.89,0.0,0.0
2024-09-21,13.35,0.0,0.0
2024-09-20,14.65,0.0,0.0
2024-09-19,13.6,0.0,0.0
2024-09-18,15.65,0.0,0.0
2024-09-17,13.89,0.0,0.0
2024-09-16,13.95,0.0,0.0
2024-09-15,14.7,0.0,0.0
2024-09-14,16.0,5.6,0.0
2024-09-13,14.25,11.9,0.0
2024-09-12,14.9,0.0,0.0
2024-09-11,15.55,0.4,0.0
2024-09-10,16.1,0.0,0.0
2024-09-09,16.7,0.0,0.0
2024-09-08,18.64,0.0,0.0
2024-09-07,18.85,0.0,0.0
2024-09-06,18.5,0.0,0.0
2024-09-05,18.89,0.0,0.0
2024-09-04,16.85,0.0,0.0
2024-09-03,16.85,0.0,0.0
2024-09-02,17.89,0.0,0.0
2024-09-01,18.45,0.0,0.0
2024-08-31,17.25,0.0,0.0
2024-08-30,15.95,0.0,0.0
2024-08-29,15.05,0.0,0.0
2024-08-28,13.2,0.0,0.0
2024-08-27,15.55,0.0,0.0
2024-08-26,16.75,12.7,0.0
2024-08-25,17.35,0.4,0.0
2024-08-24,16.39,26.7,0.0
2024-08-23,15.1,6.2,0.0
2024-08-22,16.39,1.4,0.0
2024-08-21,16.89,0.0,0.0
2024-08-20,18.64,0.5,0.0
2024-08-19,18.35,1.5,0.0
2024-08-18,19.8,9.7,0.0
2024-08-17,18.45,0.0,0.0
2024-08-16,18.45,0.0,0.0
2024-08-15,18.85,0.0,0.0
2024-08-14,18.3,0.0,0.0
2024-08-13,18.7,0.0,0.0
2024-08-12,17.5,0.0,0.0
2024-08-11,18.8,0.3,0.0
2024-08-10,20.39,0.0,0.0
2024-08-09,21.35,0.0,0.0
2024-08-08,19.45,0.0,0.0
2024-08-07,18.55,0.0,0.0
2024-08-06,18.45,0.0,0.0
2024-08-05,20.54,0.0,0.0
2024-08-04,20.6,0.0,0.0
2024-08-03,18.95,0.0,0.0
2024-08-02,21.35,0.0,0.0
2024-08-01,19.25,0.0,0.0
2024-07-31,19.25,0.8,0.0
2024-07-30,18.39,0.0,0.0
2024-07-29,16.6,19.0,0.0
2024-07-28,17.64,0.0,0.0
2024-07-27,17.5,0.0,0.0
2024-07-26,16.64,0.0,0.0
2024-07-25,18.6,0.0,0.0
2024-07-24,18.14,0.0,0.0
2024-07-23,17.45,0.0,0.0
2024-07-22,17.95,0.0,0.0
2024-07-21,19.05,0.0,0.0
2024-07-20,20.5,0.0,0.0
2024-07-19,21.15,0.0,0.0
2024-07-18,21.35,0.0,0.0
2024-07-17,21.95,0.0,0.0
2024-07-16,19.45,0.0,0.0
2024-07-15,18.8,0.0,0.0
2024-07-14,20.45,0.0,0.0
2024-07-13,20.1,0.0,0.0
2024-07-12,18.5,0.0,0.0
2024-07-11,18.79,0.0,0.0
2024-07-10,19.7,0.0,0.0
2024-07-09,21.95,0.0,0.0
2024-07-08,20.6,0.0,0.0
2024-07-07,20.35,0.0,0.0
2024-07-06,19.5,0.0,0.0
2024-07-05,18.45,0.0,0.0
2024-07-04,16.75,0.0,0.0
2024-07-03,15.55,0.0,0.0
2024-07-02,16.39,0.0,0.0
2024-07-01,17.25,0.0,0.0
2024-06-30,19.14,0.0,0.0
2024-06-29,17.5,0.2,0.0
2024-06-28,15.0,5.8,0.0
2024-06-27,14.14,5.6,0.0
2024-06-26,16.6,2.7,0.0
2024-06-25,16.55,0.0,0.0
2024-06-24,15.6,0.0,0.0
2024-06-23,16.1,0.0,0.0
2024-06-22,18.14,0.0,0.0
2024-06-21,18.0,0.0,0.0
2024-06-20,16.7,0.0,0.0
2024-06-19,15.1,0.0,0.0
2024-06-18,14.95,0.0,0.0
2024-06-17,13.8,0.8,0.0
2024-06-16,11.95,5.8,0.0
2024-06-15,13.1,0.0,0.0
2024-06-14,13.45,0.9,0.0
2024-06-13,13.8,0.0,0.0
2024-06-12,13.7,1.2,0.0
2024-06-11,15.55,2.0,0.0
2024-06-10,15.1,0.0,0.0
2024-06-09,17.3,0.0,0.0
2024-06-08,16.45,0.0,0.0
2024-06-07,14.1,0.0,0.0
2024-06-06,13.05,0.0,0.0
2024-06-05,12.95,0.0,0.0
2024-06-04,13.55,5.6,0.0
2024-06-03,13.65,10.5,0.0
2024-06-02,12.5,19.0,0.0
2024-06-01,14.7,4.0,0.0
2024-05-31,12.1,0.0,0.0
2024-05-30,12.5,0.0,0.0
2024-05-29,10.5,1.0,0.0
2024-05-28,13.35,9.2,0.0
2024-05-27,13.65,0.0,0.0
2024-05-26,10.8,10.4,0.0
2024-05-25,12.2,1.8,0.0
2024-05-24,11.75,3.8,0.0
2024-05-23,12.8,0.0,0.0
2024-05-22,11.55,0.0,0.0
2024-05-21,10.3,20.2,0.0
2024-05-20,12.2,0.0,0.0
2024-05-19,11.85,0.0,0.0
2024-05-18,10.95,2.6,0.0
2024-05-17,12.45,0.0,0.0
2024-05-16,15.4,0.0,0.0
2024-05-15,15.2,0.0,0.0
2024-05-14,13.1,0.0,0.0
2024-05-13,14.7,0.0,0.0
2024-05-12,15.4,0.0,0.0
2024-05-11,15.1,0.0,0.0
2024-05-10,14.45,0.0,0.0
2024-05-09,11.9,0.0,0.0
2024-05-08,10.95,0.0,0.0
2024-05-07,13.2,0.0,0.0
2024-05-06,11.55,0.2,0.0
2024-05-05,11.39,4.7,0.0
2024-05-04,13.35,0.0,0.0
2024-05-03,13.45,0.0,0.0
2024-05-02,9.69,0.0,0.0
2024-05-01,9.25,0.0,0.0
2024-04-30,8.89,0.2,0.0
2024-04-29,8.1,0.0,0.0
2024-04-28,10.35,0.5,0.0
2024-04-27,9.94,6.8,0.0
2024-04-26,11.64,6.6,0.0
2024-04-25,9.35,21.7,0.0
2024-04-24,10.45,3.3,0.0
2024-04-23,10.85,0.0,0.0
2024-04-22,8.65,0.0,0.0
2024-04-21,9.65,0.0,0.0
2024-04-20,12.35,1.4,0.0
2024-04-19,9.1,0.0,0.0
2024-04-18,8.3,0.0,0.0
2024-04-17,6.3,0.0,0.0
2024-04-16,8.55,0.0,0.0
2024-04-15,8.85,0.4,0.0
2024-04-14,8.64,0.0,0.0
2024-04-13,9.75,0.0,0.0
2024-04-12,9.15,0.2,0.0
2024-04-11,8.69,5.0,0.0
2024-04-10,8.3,0.0,0.0
2024-04-09,9.25,0.0,0.0
2024-04-08,7.75,8.8,0.0
2024-04-07,8.75,0.2,0.0
2024-04-06,7.5,0.8,0.0
2024-04-05,8.35,0.0,0.0
2024-04-04,6.9,0.0,0.0
2024-04-03,7.15,0.0,0.0
2024-04-02,10.1,3.8,0.0
2024-04-01,10.75,0.0,0.0
2024-03-31,6.95,0.0,0.0
2024-03-30,6.1,0.0,0.0
2024-03-29,8.85,2.2,0.0
2024-03-28,8.05,2.0,0.0
2024-03-27,8.0,27.2,0.0
2024-03-26,10.05,10.8,0.0
2024-03-25,9.44,0.4,0.0
2024-03-24,7.2,0.0,0.0
2024-03-23,8.4,9.0,0.0
2024-03-22,9.15,4.1,0.0
2024-03-21,10.0,0.0,0.0
2024-03-20,8.25,1.2,0.0
2024-03-19,7.95,0.0,0.0
2024-03-18,7.65,0.0,0.0
2024-03-17,9.85,0.0,0.0
2024-03-16,8.75,0.0,0.0
2024-03-15,6.45,0.0,0.0
2024-03-14,5.09,0.0,0.0
2024-03-13,6.69,0.0,0.0
2024-03-12,8.25,2.4,0.0
2024-03-11,5.15,12.3,0.0
2024-03-10,8.4,0.4,0.0
2024-03-09,7.85,0.5,0.0
2024-03-08,5.35,1.6,0.0
2024-03-07,2.54,0.0,0.0
2024-03-06,2.2,0.0,0.0
2024-03-05,0.85,,
2024-03-04,2.95,0.2,0.0
2024-03-03,2.4,20.7,1.0
2024-03-02,4.4,0.0,2.0
2024-03-01,4.4,2.6,0.0
2024-02-29,5.25,4.5,0.0
2024-02-28,5.25,17.1,0.0
2024-02-27,0.95,2.6,1.0
2024-02-26,4.15,0.0,0.0
2024-02-25,6.25,5.6,0.0
2024-02-24,7.65,0.5,0.0
2024-02-23,6.05,0.0,0.0
2024-02-22,8.55,5.3,0.0
2024-02-21,8.55,9.1,0.0
2024-02-20,7.15,3.6,0.0
2024-02-19,5.7,3.4,0.0
2024-02-18,5.85,0.0,0.0
2024-02-17,4.69,0.0,0.0
2024-02-16,3.25,0.0,0.0
2024-02-15,3.55,0.0,0.0
2024-02-14,2.8,0.0,0.0
2024-02-13,4.4,0.0,0.0
2024-02-12,6.0,7.4,0.0
2024-02-11,6.15,21.9,0.0
2024-02-10,5.15,1.9,0.0
2024-02-09,3.25,0.0,0.0
2024-02-08,5.6,0.0,0.0
2024-02-07,5.15,0.8,0.0
2024-02-06,5.15,0.0,0.0
2024-02-05,3.2,0.0,0.0
2024-02-04,4.5,0.0,0.0
2024-02-03,6.3,0.2,0.0
2024-02-02,9.25,0.3,0.0
2024-02-01,11.05,1.5,0.0
2024-01-31,11.2,8.9,0.0
2024-01-30,11.5,1.8,0.0
2024-01-29,11.25,4.6,0.0
2024-01-28,11.1,16.1,0.0
2024-01-27,9.8,39.7,0.0
2024-01-26,9.85,11.9,0.0
2024-01-25,7.6,4.9,0.0
2024-01-24,7.05,13.3,0.0
2024-01-23,8.19,13.5,0.0
2024-01-22,6.25,14.4,0.0
2024-01-21,4.55,12.4,0.0
2024-01-20,2.6,0.0,0.0
2024-01-19,0.9,14.7,0.0
2024-01-18,-1.79,0.0,6.0
2024-01-17,-0.74,0.0,27.8
2024-01-16,-2.4,0.0,0.0
2024-01-15,-3.99,0.0,0.0
2024-01-14,-5.55,0.0,0.0
2024-01-13,-8.44,0.0,0.0
2024-01-12,-9.9,0.0,0.0
2024-01-11,-0.95,0.0,3.0
2024-01-10,4.15,0.0,0.0
2024-01-09,5.75,6.0,0.0
2024-01-08,2.15,32.6,0.0
2024-01-07,1.65,0.0,0.0
2024-01-06,3.55,6.3,0.0
2024-01-05,5.55,5.0,0.0
2024-01-04,6.94,10.3,0.0
2024-01-03,7.69,0.7,0.0
2024-01-02,5.8,9.8,0.0
2024-01-01,3.6,0.0,0.0
2023-12-31,7.25,0.0,0.0
2023-12-30,10.8,6.4,0.0
2023-12-29,9.94,1.4,0.0
2023-12-28,10.64,4.3,0.0
2023-12-27,9.19,1.1,0.0
2023-12-26,7.95,2.8,0.0
2023-12-25,7.8,7.6,0.0
2023-12-24,3.0,0.0,0.0
2023-12-23,3.3,0.0,0.0
2023-12-22,7.35,3.8,0.0
2023-12-21,9.19,5.7,0.0
2023-12-20,9.3,4.4,0.0
2023-12-19,8.94,11.0,0.0
2023-12-18,6.5,2.7,0.0
2023-12-17,5.35,0.0,0.0
2023-12-16,7.0,0.0,0.0
2023-12-15,8.3,5.2,0.0
2023-12-14,6.45,3.6,0.0
2023-12-13,5.09,0.0,0.0
2023-12-12,4.55,0.0,0.0
2023-12-11,5.95,0.0,0.0
2023-12-10,6.15,12.9,0.0
2023-12-09,2.75,14.8,0.0
2023-12-08,3.45,0.0,0.0
2023-12-07,5.5,5.7,0.0
2023-12-06,8.25,2.2,0.0
2023-12-05,10.4,7.7,0.0
2023-12-04,7.9,49.8,0.0
2023-12-03,6.95,6.0,0.0
2023-12-02,6.5,12.9,0.0
2023-12-01,4.45,13.1,0.0
2023-11-30,1.69,5.0,0.0
2023-11-29,0.95,0.0,0.0
2023-11-28,1.8,0.0,0.0
2023-11-27,4.3,0.0,0.0
2023-11-26,1.79,0.0,0.0
2023-11-25,3.09,0.0,0.0
2023-11-24,2.54,0.0,0.0
2023-11-23,3.7,0.0,0.0
2023-11-22,5.55,0.4,0.0
2023-11-21,4.39,9.8,0.0
2023-11-20,6.5,0.0,0.0
2023-11-19,7.35,7.7,0.0
2023-11-18,5.65,0.3,0.0
2023-11-17,4.09,0.0,0.0
2023-11-16,3.09,0.0,0.0
2023-11-15,5.35,0.6,0.0
2023-11-14,4.75,0.0,0.0
2023-11-13,6.55,0.3,0.0
2023-11-12,7.3,5.7,0.0
2023-11-11,8.85,20.3,0.0
2023-11-10,6.6,8.5,0.0
2023-11-09,6.8,2.2,0.0
2023-11-08,7.3,4.8,0.0
2023-11-07,8.65,2.0,0.0
2023-11-06,10.1,6.1,0.0
2023-11-05,11.89,2.8,0.0
2023-11-04,14.2,14.2,0.0
2023-11-03,11.2,0.6,0.0
2023-11-02,12.45,15.5,0.0
2023-11-01,6.75,5.2,0.0
2023-10-31,5.45,0.0,0.0
2023-10-30,4.2,0.0,0.0
2023-10-29,4.09,0.0,0.0
2023-10-28,3.05,0.0,0.0
2023-10-27,3.64,0.0,0.0
2023-10-26,4.75,0.0,0.0
2023-10-25,7.3,2.1,0.0
2023-10-24,7.69,15.0,0.0
2023-10-23,8.19,0.0,0.0
2023-10-22,8.85,1.0,0.0
2023-10-21,11.55,0.0,0.0
2023-10-20,12.05,0.0,0.0
2023-10-19,13.75,0.2,0.0
2023-10-18,12.25,33.9,0.0
2023-10-17,10.3,20.7,0.0
2023-10-16,14.3,4.0,0.0
2023-10-15,15.89,1.7,0.0
2023-10-14,15.75,1.5,0.0
2023-10-13,12.1,5.2,0.0
2023-10-12,11.45,0.0,0.0
2023-10-11,12.8,0.0,0.0
2023-10-10,13.85,15.0,0.0
2023-10-09,14.95,7.8,0.0
2023-10-08,15.6,0.0,0.0
2023-10-07,13.5,0.0,0.0
2023-10-06,12.6,0.0,0.0
2023-10-05,13.35,0.0,0.0
2023-10-04,13.2,0.0,0.0
2023-10-03,11.75,0.0,0.0
2023-10-02,11.55,10.1,0.0
2023-10-01,11.1,0.0,0.0
2023-09-30,11.7,0.0,0.0
2023-09-29,10.8,0.4,0.0
2023-09-28,12.45,1.4,0.0
2023-09-27,12.75,5.5,0.0
2023-09-26,14.8,1.8,0.0
2023-09-25,14.25,9.1,0.0
2023-09-24,14.1,3.7,0.0
2023-09-23,14.55,1.6,0.0
2023-09-22,14.75,0.0,0.0
2023-09-21,12.7,0.0,0.0
2023-09-20,13.15,0.2,0.0
2023-09-19,14.75,8.3,0.0
2023-09-18,14.65,0.7,0.0
2023-09-17,15.55,0.0,0.0
2023-09-16,17.14,0.0,0.0
2023-09-15,15.6,0.0,0.0
2023-09-14,15.65,0.0,0.0
2023-09-13,16.64,0.0,0.0
2023-09-12,15.65,0.0,0.0
2023-09-11,18.25,0.0,0.0
2023-09-10,19.05,0.0,0.0
2023-09-09,15.8,0.0,0.0
2023-09-08,14.7,0.0,0.0
2023-09-07,16.2,0.0,0.0
2023-09-06,16.1,0.0,0.0
2023-09-05,16.8,0.0,0.0
2023-09-04,16.14,0.0,0.0
2023-09-03,17.14,0.6,0.0
2023-09-02,18.0,0.0,0.0
2023-09-01,17.6,0.0,0.0
2023-08-31,17.1,2.8,0.0
2023-08-30,18.1,0.3,0.0
2023-08-29,15.85,17.0,0.0
2023-08-28,18.89,0.0,0.0
2023-08-27,19.1,0.0,0.0
2023-08-26,17.1,0.0,0.0
2023-08-25,16.89,0.0,0.0
2023-08-24,15.2,0.0,0.0
2023-08-23,16.89,0.0,0.0
2023-08-22,16.55,0.0,0.0
2023-08-21,16.39,0.0,0.0
2023-08-20,15.8,0.0,0.0
2023-08-19,14.0,0.0,0.0
2023-08-18,17.8,0.0,0.0
2023-08-17,20.25,0.0,0.0
2023-08-16,20.2,0.0,0.0
2023-08-15,21.35,0.0,0.0
2023-08-14,21.0,0.0,0.0
2023-08-13,20.8,,0.0
2023-08-12,20.3,,0.0
2023-08-11,18.45,0.0,0.0
2023-08-10,18.55,2.4,0.0
2023-08-09,19.54,11.8,0.0
2023-08-08,19.45,0.0,0.0
2023-08-07,20.05,0.0,0.0
2023-08-06,19.29,0.0,0.0
2023-08-05,20.55,0.0,0.0
2023-08-04,19.35,0.0,0.0
2023-08-03,19.35,0.0,0.0
2023-08-02,18.5,0.0,0.0
2023-08-01,18.14,,
2023-07-31,17.79,0.0,0.0
2023-07-30,18.45,0.0,0.0
2023-07-29,19.39,0.0,0.0
2023-07-28,18.7,0.0,0.0
2023-07-27,18.2,0.0,0.0
2023-07-26,17.35,0.0,0.0
2023-07-25,16.89,1.7,0.0
2023-07-24,16.79,18.8,0.0
2023-07-23,19.14,0.0,0.0
2023-07-22,20.3,0.0,0.0
2023-07-21,20.2,0.0,0.0
2023-07-20,22.4,0.0,0.0
2023-07-19,20.1,0.0,0.0
2023-07-18,17.8,0.0,0.0
2023-07-17,20.6,0.0,0.0
2023-07-16,20.1,0.0,0.0
2023-07-15,21.8,0.0,0.0
2023-07-14,19.25,0.0,0.0
2023-07-13,18.45,0.0,0.0
2023-07-12,19.14,0.0,0.0
2023-07-11,18.14,0.0,0.0
2023-07-10,16.89,0.0,0.0
2023-07-09,18.8,0.0,0.0
2023-07-08,18.14,0.0,0.0
2023-07-07,18.64,0.0,0.0
2023-07-06,20.39,0.0,0.0
2023-07-05,20.2,0.0,0.0
2023-07-04,20.3,0.0,0.0
2023-07-03,18.39,0.0,0.0
2023-07-02,18.29,0.0,0.0
2023-07-01,17.14,0.0,0.0
2023-06-30,17.64,0.0,0.0
2023-06-29,19.35,0.0,0.0
2023-06-28,19.39,0.0,0.0
2023-06-27,17.5,0.0,0.0
2023-06-26,17.89,0.0,0.0
2023-06-25,16.2,,0.0
2023-06-24,16.64,0.0,0.0
2023-06-23,18.45,0.0,0.0
2023-06-22,16.3,0.0,0.0
2023-06-21,15.9,0.0,0.0
2023-06-20,13.45,0.0,0.0
2023-06-19,12.1,4.4,0.0
2023-06-18,12.65,0.0,0.0
2023-06-17,15.39,0.0,0.0
2023-06-16,17.14,0.0,0.0
2023-06-15,15.95,0.0,0.0
2023-06-14,14.25,0.0,0.0
2023-06-13,16.3,0.9,0.0
2023-06-12,17.39,0.0,0.0
2023-06-11,15.64,0.0,0.0
2023-06-10,13.0,8.9,0.0
2023-06-09,14.45,5.7,0.0
2023-06-08,17.5,0.0,0.0
2023-06-07,19.05,0.0,0.0
2023-06-06,17.45,0.0,0.0
2023-06-05,15.65,0.0,0.0
2023-06-04,16.7,0.0,0.0
2023-06-03,15.95,0.0,0.0
2023-06-02,15.4,0.0,0.0
2023-06-01,13.65,0.0,0.0
2023-05-31,13.64,0.0,0.0
2023-05-30,13.65,0.0,0.0
2023-05-29,15.1,0.0,0.0
2023-05-28,15.35,0.0,0.0
2023-05-27,16.8,0.0,0.0
2023-05-26,16.6,0.0,0.0
2023-05-25,15.2,0.0,0.0
2023-05-24,14.14,0.0,0.0
2023-05-23,12.3,0.0,0.0
2023-05-22,13.8,0.5,0.0
2023-05-21,15.2,0.0,0.0
2023-05-20,16.35,0.0,0.0
2023-05-19,17.05,0.0,0.0
2023-05-18,19.79,0.0,0.0
2023-05-17,16.95,0.0,0.0
2023-05-16,18.0,0.0,0.0
2023-05-15,18.5,0.0,0.0
2023-05-14,17.39,0.0,0.0
2023-05-13,15.85,0.0,0.0
2023-05-12,15.35,0.0,0.0
2023-05-11,14.95,0.0,0.0
2023-05-10,12.65,0.0,0.0
2023-05-09,12.6,0.0,0.0
2023-05-08,10.14,0.0,0.0
2023-05-07,11.6,0.0,0.0
