features,coefficients
day_of_week_Saturday,1.26
day_of_week_Sunday,1.24
day_of_week_Friday,1.16
is_holiday_True,1.16
season_Summer,1.15
is_HCF_True,1.08
season_Spring,1.05
is_long_weekend_True,1.04
avg_temperature,1.04
hours_opened,1.03
day_of_week_Thursday,1.02
day_of_week_Tuesday,1.01
day_of_week_Wednesday,1.0
season_Fall,0.99
snow,0.99
rain,0.98
