features,coefficients
day_of_week_Saturday,913.0
day_of_week_Sunday,796.0
day_of_week_Friday,582.0
season_Summer,582.0
is_holiday_True,541.0
is_long_weekend_True,309.0
avg_temperature,218.0
season_Spring,217.0
day_of_week_Thursday,99.0
is_HCF_True,88.0
day_of_week_Wednesday,75.0
hours_opened,71.0
day_of_week_Tuesday,14.0
snow,-15.0
rain,-114.0
season_Fall,-145.0
